id_respuesta,Timestamp,¿Para qué tipo de empresa trabaja?,La empresa para la que usted trabaja se dedica principalmente a,¿Cuantos años de fundada tiene la empresa para la que trabaja?,¿Cuál es su título en la empresa?,¿Se considera usted fundador en la empresa?,¿Qué porcentaje de su tiempo laboral se ocupa en tareas relacionadas a desarrollo de software?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de proyectos?,¿Qué porcentaje de su tiempo laboral se ocupa en liderazgo técnico?,¿Qué porcentaje de su tiempo laboral se ocupa en gerencia de ingeniería?,¿Cuánto tiempo lleva en su cargo actual (incluyendo freelance)?,¿Cuántos años de experiencia en desarrollo de software profesional tiene?,¿En cuál de los siguientes lenguajes de programación ocupa la mayoría de su tiempo laboral?,¿En qué otros lenguajes de programación ocupa su tiempo laboral?,Tipo de relación laboral,Su modo de trabajo es: (ignorando el cambio por covid-19),Usted prefiere:,¿Tiene titulo universitario o técnico?,¿Estudió alguna carrera de PRE-grado relacionada a ingeniería de sistemas?,¿Estudió alguna carrera de POSTgrado relacionada a ingeniería de sistemas?,¿Tomó clases de programación o algorítmia en la universidad?,¿Cuál es su máximo titulo alcanzado (graduado)?,¿Ha estudiado en algún bootcamp de programación?,"¿Si ha estudiado en un bootcamp de programación, en cuál? (ingrese el url del bootcamp)",¿Cuál es su nivel de inglés para realizar conversaciones técnicas sobre software?,¿A usted le pagan en pesos colombianos (COP) o dólares (USD)?,"¿Usando la moneda de la respuesta anterior, cuánto es su remuneración ANUAL base?  eg 36,000,000 si es pesos o 3,600 si es dólares",¿Cuánto es su remuneración ANUAL adicional (usando la moneda que respondio anteriormente)?,¿Cuánto era la remuneración base ANUAL de su trabajo/rol anterior?,¿Quién paga su seguro de salud?,¿Quién paga sus pensiones y cesantias?,¿Tiene acciones (opciones/stock options/rsus) o dividendos de su empresa como parte de su compensación?,"¿Si tiene acciones, cuántas tiene en total?","¿Si tiene acciones, cuál es el precio de emisión por acción en USD? (use $3,750 como tasa de cambio si es necesario)",¿Trabaja usted en proyectos freelance a pesar de tener trabajo tiempo completo?,¿Cuanto fue el total de sus ingresos adicionales de proyectos freelance el año pasado?,¿Siente que su salario es justo?,¿En qué sitio web busca oportunidades laborales principalmente?,¿En que ciudad de Colombia vive?,¿Cuál es su país de procedencia?,¿En qué año nació?,¿Cuantos hijos tiene?,¿Con cual pronombre prefiere que se refieran a usted?,¿Se considera usted parte de una minoría racial o étnica?,¿Cuantas horas trabaja por semana?,titulo_en_empresa_v2,tipo_relacion_laboral_v2,url_bootcamp_v2,precio_emision_accion_v2,acciones_total_v2,ingresos_freelance_ultimo_anio_v2,sitio_buscar_trabajo_v2,ciudad_v2,pais_v2,anio_nacimiento_v2,horas_trabajo_semana_v2,remuneracion_anual_v2,remuneracion_mensual_usd
1452,7/9/2020 18:57:23,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Senior,no,70 - 80%,20 - 30%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,SQL,Java,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,76000000,6000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Medellin,Colombia,1986,1,él (tradicionalmente se identifica como hombre),no,40,Senior,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[31-35],[40-49],20266,1688
1453,7/9/2020 18:59:12,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Frontend,no,80 - 90%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,menos de 1 año,2+ años,JavaScript,TypeScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,108000000,4800000,50000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,https://linkedin.com,Sabaneta,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Frontend Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Sabaneta,Colombia,[21-25],[40-49],28800,2400
1454,7/9/2020 19:05:03,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Analyst,no,50 - 60%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Java,"Groovy, JavaScript, PHP, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,42000000,3500000,0,mi empleador,mi empleador,no,NULL,NULL,si,6000000,no,https://linkedin.com,Medellín,Colombia,1990,1,él (tradicionalmente se identifica como hombre),no,40,Software Analyst,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],11200,933
1455,7/9/2020 19:08:19,empresa Colombiana con mercado EEUU,consultoría y servicios de desarrollo de software a la medida,más de 10,Project lead,no,50 - 60%,20 - 30%,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,"JavaScript, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,Sí,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,150000000,12000000,144000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Medellín,Colombia,1990,0,él (tradicionalmente se identifica como hombre),no,45,Lead,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],40000,3333
1456,7/9/2020 19:18:11,empresa Colombiana con mercado Colombiano,otro,más de 10,FrontEnd Developer,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,JavaScript,"ninguno,  por que soy manager ?",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,ningúno,no,no,no,bachiller,Sí,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,48000000,0,28800000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,http://linkedin.com,Bello,Colombia,1986,1,él (tradicionalmente se identifica como hombre),no,48,FrontEnd Developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,"Bello, Antioquia",Colombia,[31-35],[40-49],12800,1066
1457,7/9/2020 19:32:21,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Gerente,no,70 - 80%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Python,"Java, Python, R, Scala, SQL",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,si,maestria,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,90000000,30000000,82800000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,bogota,Colombia,1989,0,ella (tradicionalmente se identifica como mujer),no,40,Gerente,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[40-49],24000,2000
1458,7/9/2020 19:33:12,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,Ingeniero de Software,no,70 - 80%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,PHP,"JavaScript, Shell, SQL",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,maestria,No,NULL,básico (puede leer documentación y código en inglés),pesos,60000000,5000000,43200000,mi empleador,mi empleador,no,NULL,NULL,si,0,si,https://www.computrabajo.com.co,Bogotá,Colombia,1989,1,él (tradicionalmente se identifica como hombre),no,40,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],Computrabajo.com,Bogotá,Colombia,[31-35],[40-49],16000,1333
1459,7/9/2020 19:33:39,empresa extranjera,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Frontend Engineer,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,"Java, Kotlin",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,84000000,0,54000000,mi empleador,mi empleador,no,0,0,si,2000000,si,https://linkedIn.com,Medellín,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,40,Frontend Developer,término indefinido,NULL,[0-10],[0-1000],[0-1000],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],22400,1866
1460,7/9/2020 19:41:22,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Ingeniero de datos,no,50 - 60%,0 - 10%,30 - 40%,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,SAS,SQL,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,técnico,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,50880000,2000000,14400000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,https://linkedin.com,Medellín,Colombia,1984,0,él (tradicionalmente se identifica como hombre),no,40,Ingeniero de datos,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Medellín,Colombia,[36-40],[40-49],13568,1130
1461,7/9/2020 19:46:00,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,más de 10,Desarrollador de software,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,TypeScript,"JavaScript, Kotlin, Swift, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,ningúno,si,no,si,bachiller,No,NULL,básico (puede leer documentación y código en inglés),pesos,42000000,21500000,36000000,mi empleador,mi empleador,no,NULL,NULL,no,6000000,no,http://linkedin.com,Medellín,Colombia,1993,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],11200,933
1462,7/9/2020 19:49:19,empresa Colombiana con mercado Colombiano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",5 - 10,Developer,no,70 - 80%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,PHP,"JavaScript, SQL",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,40000000,0,3500000,mi empleador,mi empleador,no,NULL,NULL,si,8000000,no,http://linkedin.com,Medellín,Colombia,1990,2,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],10666,888
1463,7/9/2020 19:50:03,empresa Colombiana con mercado Colombiano,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Ingeniero de Desarrollo,no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Java,"JavaScript, SQL",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,40800000,3400000,1200000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Bogotá,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,48,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[21-25],[40-49],10880,906
1464,7/9/2020 19:54:18,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,más de 10,Ingeniero de desarrollo Junior,no,60 - 70%,20 - 30%,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,1+ año,JavaScript,"Dart, SQL, Swift, TypeScript",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,32500000,30000000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Cali,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Software Engineer,término fijo,NULL,NULL,NULL,[0-1000],LinkedIn.com,Cali,Colombia,[21-25],[40-49],8666,722
1465,7/9/2020 20:00:45,empresa Colombiana con mercado Colombiano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",5 - 10,Desarrollador backend,no,70 - 80%,50 - 60%,20 - 30%,0 - 10%,2+ años,2+ años,PHP,"JavaScript, PHP, SQL, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,48000000,0,18000000,mi empleador,mi empleador,no,NULL,NULL,si,10000000,no,https://linkedin.com,Medellín,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,Backend Developer,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],12800,1066
1466,7/9/2020 20:01:31,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Front End Developer,no,70 - 80%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,JavaScript,"PHP, TypeScript",contratista internacional,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,24000000,1000000,60000000,yo,yo,no,NULL,NULL,no,0,no,https://linkedin.com,Palmira,Colombia,1991,0,él (tradicionalmente se identifica como hombre),no,45,Frontend Developer,Contratista,NULL,NULL,NULL,[0-1000],LinkedIn.com,Palmira,Colombia,[26-30],[40-49],6400,533
1467,7/9/2020 20:12:48,empresa Colombiana con mercado Colombiano,otro,2 - 5,Desarrollador full stack semi seniur,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,PHP,"JavaScript, PHP",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,básico (puede leer documentación y código en inglés),pesos,48000000,0,32000000,mi empleador,mi empleador,no,NULL,NULL,si,30000000,no,NULL,Medellin,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,FullStack Developer,término indefinido,NULL,NULL,NULL,[1k-10k],NULL,Medellín,Colombia,[26-30],[40-49],12800,1066
1468,7/9/2020 20:33:04,empresa Colombiana con mercado global,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,Desarrollador,no,70 - 80%,no tengo responsabilidades de este tipo,60 - 70%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,PHP,"JavaScript, PHP, Shell",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,42000000,3500000,21600000,mi empleador,mi empleador,no,0,0,si,5000000,no,https://m.peaku.co/,Caldas,Colombia,1994,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,[0-10],[0-1000],[1k-10k],https://m.peaku.co/,"Caldas, Antioquia",Colombia,[26-30],[40-49],11200,933
1469,7/9/2020 20:35:11,empresa Colombiana con mercado global,consultoría y servicios de desarrollo de software a la medida,1,Junior Developer,no,90 - 100%,no tengo responsabilidades de este tipo,70 - 80%,no tengo responsabilidades gerenciales,menos de 1 año,1+ año,PHP,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,técnico,no,no,si,"técnico, tecnología, bachiller técnico",No,NULL,básico (puede leer documentación y código en inglés),pesos,2300000,2300000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,NULL,Medellín,Colombia,2001,0,él (tradicionalmente se identifica como hombre),no,48,Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[=<20],[40-49],613,51
1470,7/9/2020 20:37:47,empresa extranjera,otro,más de 10,Developer,no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,Go,"Java, JavaScript, Python, SQL",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,6000000,200000000,60000000,mi empleador,mi empleador,no,0,0,no,0,si,https://seek.au,Bogota,Colombia,1991,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,[0-10],[0-1000],[0-1000],https://seek.au,Bogotá,Colombia,[26-30],[40-49],1600,133
1471,7/9/2020 20:40:10,empresa extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,Machine Learning Engineer,no,90 - 100%,0 - 10%,no tengo responsabilidades de liderazgo técnico,0 - 10%,1+ año,3 - 5 años,Python,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,si,maestria,Sí,https://www.deeplearning.ai/,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,90000000,0,48000000,mi empleador,mi empleador,si - stock options,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,50,Machine Learning Engineer,término indefinido,https://www.deeplearning.ai/,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[26-30],[50-59],24000,2000
1472,7/9/2020 20:46:49,empresa Colombiana con mercado latinoamericano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Desarrollador we,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2+ años,1+ año,PHP,PHP,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,no,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,2200000,2200000,1200000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Medellín,Colombia,1989,0,él (tradicionalmente se identifica como hombre),no,35,Web Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Medellín,Colombia,[31-35],[30-39],586,48
1473,7/9/2020 20:51:08,empresa Colombiana con mercado Colombiano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,NULL,si,70 - 80%,0 - 10%,0 - 10%,0 - 10%,3 - 5 años,3 - 5 años,PHP,JavaScript,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,43000000,0,0,mi empleador,mi empleador,no,NULL,NULL,si,1000000,no,NULL,Manizales,Colombia,1991,0,él (tradicionalmente se identifica como hombre),no,40,Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Manizales,Colombia,[26-30],[40-49],11466,955
1474,7/9/2020 20:51:44,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,2 - 5,Frontend React Junior,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,JavaScript,JavaScript,Solo trabaje por el periodo de prueba,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,ningúno,no,no,no,bachiller,Sí,https://www.facebook.com/FrontendBootstrapping,básico (puede leer documentación y código en inglés),pesos,16800000,1680000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://colombia-dev.slack.com,Medellín,Venezuela,1994,0,ella (tradicionalmente se identifica como mujer),no,64,Frontend Developer,Solo trabaje por el periodo de prueba,https://www.facebook.com/FrontendBootstrapping,NULL,NULL,[0-1000],Colombia-dev.slack.com,Medellín,Venezuela,[26-30],[>60],4480,373
1475,7/9/2020 21:04:10,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,INGENIERO DE SOFTWARE,no,60 - 70%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,2+ años,2+ años,Java,"C#, Python",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,36360000,1000000,0,mi empleador,mi empleador,no,NULL,NULL,si,1000000,no,https://m.peaku.co/,Caldas	Antioquia,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,40,Software Engineer,término indefinido,NULL,NULL,NULL,[0-1000],https://m.peaku.co/,"Caldas, Antioquia",Colombia,[21-25],[40-49],9696,808
1476,7/9/2020 21:15:39,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Data Tech Lead,no,40 - 50%,50 - 60%,60 - 70%,60 - 70%,1+ año,5 - 10 años,Python,"Python, Scala",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,universitario,no,no,no,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,156000000,0,102000000,mi empleador,mi empleador,no,NULL,NULL,no,0,si,NULL,Bogotá,Colombia,1984,2,él (tradicionalmente se identifica como hombre),no,44,Lead,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[36-40],[40-49],41600,3466
1477,7/9/2020 21:16:46,empresa Colombiana con mercado global,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Desarrollador de Software,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,1+ año,TypeScript,"SQL, TypeScript, Java Script",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,45600000,9500000,61200000,mi empleador,mi empleador,no,NULL,NULL,si,1000000,si,NULL,Bogotá,Colombia,1997,0,él (tradicionalmente se identifica como hombre),no,50,Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[21-25],[50-59],12160,1013
1478,7/9/2020 21:19:05,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Senior Android Developer,no,50 - 60%,0 - 10%,20 - 30%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Kotlin,"Java, Kotlin",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,si,si,bachiller,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,90800000,8400000,84000000,mi empleador,mi empleador,no,NULL,NULL,si,0,si,http://linkedin.com,bogota,Colombia,1988,1,él (tradicionalmente se identifica como hombre),no,35,Android developer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[30-39],24213,2017
1479,7/9/2020 21:24:40,empresa Colombiana con mercado Colombiano,consultoría y servicios de desarrollo de software a la medida,más de 10,Frontend developer,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,JavaScript,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,si,pregrado,No,NULL,básico (puede leer documentación y código en inglés),pesos,66000000,0,38400000,mi empleador,mi empleador,no,NULL,0,no,0,si,http://linkedin.com,Bogotá,Colombia,1985,0,él (tradicionalmente se identifica como hombre),no,45,Frontend developer,término indefinido,NULL,[0-10],NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[31-35],[40-49],17600,1466
1480,7/9/2020 21:27:13,empresa extranjera,consultoría y servicios de desarrollo de software a la medida,2 - 5,NULL,si,70 - 80%,no tengo responsabilidades de este tipo,60 - 70%,no tengo responsabilidades gerenciales,1+ año,1+ año,Scala,"Java, JavaScript, PowerShell, Python, SQL",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,NULL,avanzado (puede liderar una reunion de varias personas en ingles comodamente),pesos,30000000,3000000,1200000,mi empleador,mi empleador,no,NULL,NULL,no,0,no,NULL,Bogita,Colombia,1996,0,él (tradicionalmente se identifica como hombre),no,48,Developer,término indefinido,NULL,NULL,NULL,[0-1000],NULL,Bogotá,Colombia,[21-25],[40-49],8000,666
1481,7/9/2020 21:30:32,empresa Colombiana con mercado latinoamericano,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Líder desarrollo,no,50 - 60%,50 - 60%,50 - 60%,50 - 60%,2+ años,3 - 5 años,PHP,"JavaScript, SQL",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,"técnico, tecnología, bachiller técnico",No,NULL,básico (puede leer documentación y código en inglés),pesos,48000000,0,24000000,yo,yo,no,NULL,NULL,si,5000000,no,http://linkedin.com,Medellin,Colombia,1992,0,él (tradicionalmente se identifica como hombre),no,40,lead,término indefinido,NULL,NULL,NULL,[1k-10k],LinkedIn.com,Medellín,Colombia,[26-30],[40-49],12800,1066
1482,7/9/2020 21:33:31,empresa Colombiana con mercado latinoamericano,"servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,Junior software engineer,no,90 - 100%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,2+ años,2+ años,Java,"JavaScript, Shell, SQL, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,NULL,intermedio (puede pasar una entrevista de programación en ingles cómodamente),pesos,31200000,4800000,0,mi empleador,mi empleador,no,NULL,NULL,no,0,no,http://linkedin.com,Bogotá,Colombia,1995,0,él (tradicionalmente se identifica como hombre),no,40,Junior software engineer,término indefinido,NULL,NULL,NULL,[0-1000],LinkedIn.com,Bogotá,Colombia,[21-25],[40-49],8320,693
